name,loc,style,size,price,foc
棉鞋营小区  ,"118.806848979,32.0369777379",3室1厅,69.74,220,20
托乐嘉睦邻居  ,"118.793448541,31.9520150774",3室1厅,121.35,365,47
雅居乐花园  ,"123.399991093,41.9371260507",3室1厅,77.25,265,91
滨江奥城听雨苑  ,"120.192370429,30.1875876077",3室2厅,115.83,525,243
万达紫金明珠  ,"118.866011595,32.0213524614",2室2厅,84.95,239,154
来凤里  ,"118.777621296,32.0274406247",2室1厅,51.96,142,310
城开家园  ,"118.834389409,32.026832288",3室2厅,118.85,410,54
丹佛小镇  ,"118.788918439,31.9129854481",3室2厅,72.64,182,53
天润城第六街区  ,"118.736111838,32.1507015452",2室2厅,91.82,185,12
小杨村小区  ,"118.804137584,32.0415549863",2室1厅,56.09,222,3
北江锦城  ,"118.6170904,32.0591159391",3室2厅,115.15,239,29
常府街10至16号  ,"118.806007189,32.0395545272",2室1厅,10,212,28
天元吉第城  ,"113.068008984,27.7777721228",3室1厅,52.42,182,105
天地新城天心座  ,"112.996195207,28.1444708611",2室2厅,95.41,223,41
万达紫金明珠  ,"118.866011595,32.0213524614",2室2厅,84.45,248,70
威尼斯水城第一街区  ,"119.570408154,31.7507707195",3室2厅,114.3,240,188
天润城第十二街区  ,"118.735571871,32.1602884687",2室2厅,74.11,187,81
天坛新寓  ,"118.835769971,32.024192013",3室1厅,75.16,243,119
北江锦城  ,"118.6170904,32.0591159391",2室1厅,69.07,175,18
合班村5号  ,"118.817697783,32.1161587242",3室1厅,105.73,208,24
城开家园  ,"118.834389409,32.026832288",2室2厅,72.79,265,17
仁义里小区  ,"118.806130591,32.043372249",3室1厅,84.28,310,17
左邻右里  ,"111.710193688,40.8230263535",2室2厅,89.29,285,19
洪武公寓  ,"118.794181861,32.0388127305",3室2厅,92.99,370,15
江岸水城  ,"114.33286814,30.6560908894",3室2厅,120.46,225,90
磨盘街  ,"118.783655625,32.0210472237",2室1厅,48.78,140,11
东方红郡  ,"118.439944647,31.3646711564",2室2厅,84.48,216,17
